"param","value","source"
"rho_y",0.408,"Output equation, y_lag1 coefficient"
"psi",NA,"Replaced by y_lag1 base persistence"
"alpha_S",0.041,"S_mean_tw coefficient (negative effect on y)"
"alpha_F_CP",0,"Removed in V3; use eta_p only"
"eta_tilde",0,"Removed in V3"
"eta_p",0.01,"F_CP_lag2 * y_lag1_recession persistence channel"
"alpha_F_DI",0.193,"F_DI_lag2 (insignificant; iLQR sensitivity)"
"beta_d",0.023,"Excess-mortality coefficient (negative)"
"gamma_y",0.188,"Output gap stabilizer (negative effect on b)"
"kappa_CP_pooled",0.173,"Pooled CP debt cost (V4 main)"
"kappa_CP_above",0.434,"Above-the-line component (descriptive)"
"kappa_CP_loans",0.365,"Loans component (descriptive)"
"kappa_CP_guar",0.107,"Guarantees adj. 35% (descriptive)"
"kappa_CP_q75",1.009,"Above-the-line at tau=0.75 (tail-conditional)"
"kappa_DI",0.427,"DI lag 1 (p=0.08)"
"year_trend",-0.25,"Linear year trend"
"kappa_CP_lo",0.134,"Narrow window lower bound"
"kappa_CP_hi",0.241,"Net-effect upper bound"
"rho_theta_w1",1.1,"Wave 1 R0/serial-interval (Liu & Rocklov 2021)"
"rho_theta_w2",1.2,"Alpha wave"
"rho_theta_w3",1.5,"Delta wave"
"rho_theta_w4",2.2,"Omicron BA.1"
"phi_S",0.012,"Haug et al 2020 NPI effectiveness"
"delta_theta_avg",0.008,"IFR (IHME/Lancet 2022, age-weighted OECD)"
"c_H",NA,"Set externally; OECD Health at a Glance 2023"
